date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:18:51	34/34	---MCZ	200	added ('OK')	text/plain	etag:6978a616c585d03cb5b542a891995efb	https://onthegomoving.org/robots.txt		(from )
18:18:51	125303/125303	---MCZ	200	added ('OK')	text/html	etag:a06f35f7b48e89158e40aa26b1ee85ea	https://onthegomoving.org/	C:/My%20Web%20Sites/test8/onthegomoving.org/index.html	(from )
18:18:52	423/423	---MCZ	200	added ('OK')	application/manifest+json	etag:b64db58884c25fe3a413198bfac1ead2	https://onthegomoving.org/manifest.webmanifest	C:/My%20Web%20Sites/test8/onthegomoving.org/manifest.webmanifest	(from https://onthegomoving.org/)
18:18:52	133281/133281	---M--	200	added ('OK')	image/jpeg	etag:1562131089	https://img1.wsimg.com/isteam/ip/a854814c-784a-46b4-b962-9eb213567cfb/On%20The%20Go%20Moving_d00a_00a%20(1).jpg	C:/My%20Web%20Sites/test8/img1.wsimg.com/isteam/ip/a854814c-784a-46b4-b962-9eb213567cfb/On%20The%20Go%20Moving_d00a_00a%20(1).jpg	(from https://onthegomoving.org/)
18:18:52	32972/32972	---MCZ	200	added ('OK')	application/javascript	etag:fbfa086eaf7f86eb1bc740b39c900c71	https://onthegomoving.org/sw.js	C:/My%20Web%20Sites/test8/onthegomoving.org/sw.js	(from https://onthegomoving.org/)
18:18:52	111039/111039	---MCZ	200	added ('OK')	text/html	etag:9d6e1b3fb7b41166be8026c081a8a82d	https://onthegomoving.org/moving	C:/My%20Web%20Sites/test8/onthegomoving.org/moving.html	(from https://onthegomoving.org/)
18:18:53	115753/115753	---MCZ	200	added ('OK')	text/html	etag:fbbf4151c5fd6fcdaef664c93190050b	https://onthegomoving.org/labor	C:/My%20Web%20Sites/test8/onthegomoving.org/labor.html	(from https://onthegomoving.org/)
18:18:53	107803/107803	---MCZ	200	added ('OK')	text/html	etag:ea7699d14b103b130f2216ef819e8f8f	https://onthegomoving.org/why-us	C:/My%20Web%20Sites/test8/onthegomoving.org/why-us.html	(from https://onthegomoving.org/)
18:18:53	84616/84616	---MCZ	200	added ('OK')	text/html	etag:32bc92064d04287c21f3e7b499f1c1ad	https://onthegomoving.org/reviews	C:/My%20Web%20Sites/test8/onthegomoving.org/reviews.html	(from https://onthegomoving.org/)
18:18:53	100335/100335	---MCZ	200	added ('OK')	text/html	etag:181c6c078f9a9d5e901b7557814e9a71	https://onthegomoving.org/book-now	C:/My%20Web%20Sites/test8/onthegomoving.org/book-now.html	(from https://onthegomoving.org/)
18:18:54	83873/83873	---MCZ	200	added ('OK')	text/html	etag:04ba27b268fbca1c5cb76b96d41ad231	https://onthegomoving.org/privacy-policy	C:/My%20Web%20Sites/test8/onthegomoving.org/privacy-policy.html	(from https://onthegomoving.org/)
18:18:54	40/40	---M--	302	error ('Found')	text/plain	date:Sat,%2012%20Aug%202023%2022:18:54%20GMT	https://onthegomoving.org/m/account	C:/My%20Web%20Sites/test8/onthegomoving.org/m/account	(from https://onthegomoving.org/)
18:18:54	67758/67758	---MCZ	200	added ('OK')	text/html	etag:1f0094092d8caf426c89d5a780f73806	https://onthegomoving.org/m/login?r=%2Fm%2Faccount	C:/My%20Web%20Sites/test8/onthegomoving.org/m/logina8b9.html	(from https://onthegomoving.org/)
18:18:54	69453/69453	---MCZ	200	added ('OK')	text/html	etag:63a0424fbece73a2005fc93b4cf17d03	https://onthegomoving.org/m/create-account	C:/My%20Web%20Sites/test8/onthegomoving.org/m/create-account.html	(from https://onthegomoving.org/)
